Establishment,Google maps,Read on Hellgate,Address,Latitude,Longitude,Borough,Neighborhood,Cuisine,Specialty
Funzi's Pizzeria,https://maps.app.goo.gl/B9Xdcn2VC1q7XvmFA,https://hellgatenyc.com/funzis-pizzeria-brings-excellent-slices-to-st-marks-place/,"36 St Marks Pl, New York, NY 10003",40.7286439,-73.9881729,Manhattan,East Village,Italian,Pizzas
Sofun noodle bar,https://maps.app.goo.gl/onnbDRDhvhcyV4Fp7,https://hellgatenyc.com/hunan-slurp-sofun-long-island-city/,"4340 12th St, Long Island City, NY 11101",40.7504577,-73.9482385,Queens,Long Island City,Chinese,Noodles
Salty Lunch Lady's Little Luncheonette,https://maps.app.goo.gl/YbFtP1Gvj89Us82N6,https://hellgatenyc.com/salty-lunch-lady-dria-atencio-killer-sandwiches-cakes-ridgewood/,"565 Woodward Ave, Ridgewood, NY 11385",40.7067463,-73.9086148,Queens,Ridgewood,,Sandwiches and cakes
Mama Lee - Williamsburg,https://maps.app.goo.gl/qwGmLPXu23DTGEgM8,https://hellgatenyc.com/mama-lee-taiwanese-williamsburg/,"66 Grand St, Brooklyn, NY 11249",40.7156185,-73.9649307,Brooklyn,Williamsburg,Taiwanese,
Super Taste - Upper East Side,https://maps.app.goo.gl/WF8ToLchqq3e8h4y8,https://hellgatenyc.com/super-taste-upper-east-side/,"1502 1st Ave., New York, NY 10075",40.7718429,-73.9527208,Manhattan,Upper East Side,Chinese,Noodles
Yellow Rose,https://maps.app.goo.gl/G3HML3d419L4cYxq6,https://hellgatenyc.com/tacombi-yellow-rose-taco-showdown-east-village-nyc/,"102 3rd Ave, New York, NY 10003",40.7325369,-73.9880691,Manhattan,East Village,Tex-Mex,Tacos
Lovely's Old Fashioned,https://maps.app.goo.gl/4JWvuJhPfyGB3W7c9,https://hellgatenyc.com/lovelys-old-fashioned-burger-fries-hells-kitchen/,"642 9th Ave, New York, NY 10036",40.7603697,-73.9909505,Manhattan,Hell's Kitchen,,Hamburgers
Patok by Rach,https://maps.app.goo.gl/CgtfsYE3mQ5GBXth6,https://hellgatenyc.com/patok-by-rach-in-inwood-review/,"5057 Broadway, New York, NY 10034",40.8703766,-73.9156366,Manhattan,Inwood,Filipino,
Bread and Butter,https://maps.app.goo.gl/3boMgSfhdMs6G3cc7,https://hellgatenyc.com/bakery-bread-and-butter-bed-stuy-review/,"53 Rockaway Ave, Brooklyn, NY 11233",40.6813472,-73.9112416,Brooklyn,Bedford-Stuyvesant,,Baked goods
Cloud Vietnamese Restaurant,https://maps.app.goo.gl/PQMM5U8dVZrUTDYg8,https://hellgatenyc.com/cloud-vietnamese-lower-east-side-clinton-street/,"79 Clinton St, New York, NY 10002",40.7189185,-73.9852756,Manhattan,Lower East Side,Vietnamese,
El Primo,https://maps.app.goo.gl/Q3yrKivMiQiTBFAB6,https://hellgatenyc.com/el-primo-brings-top-notch-birria-delights-tacos-nyc/,"151 Avenue A, New York, NY 10009",40.7276569,-73.9826788,Manhattan,East Village,Mexican,Tacos and birria
Taste of Himalaya,https://maps.app.goo.gl/uxjT6jwPmXU5es4k6,https://hellgatenyc.com/taste-of-himalaya-elmhurst-queens-so-good/,"75-16 Broadway, Elmhurst, NY 11373",40.7458825,-73.8900237,Queens,Elmhurst,Himalayan,
Taku Sando,https://maps.app.goo.gl/TK9QQPF4HqcphMmW6,https://hellgatenyc.com/taku-sando-japanese-greenpoint-nyc/,"29 Greenpoint Ave, Brooklyn, NY 11222",40.7298638,-73.9596512,Brooklyn,Greenpoint,Japanese,Sandwiches
Hamburger America,https://maps.app.goo.gl/j1BcEwewta9YBBNQ8,https://hellgatenyc.com/hamburger-america-george-motz-soho-nyc/,"155 W Houston St, New York, NY 10012",40.7280142,-74.0025767,Manhattan,SoHo,American,Burgers
Hyderabadi Zaiqa,https://maps.app.goo.gl/xJLjBcjwQUiE4zqf7,https://hellgatenyc.com/hyderabadi-zaiqa-hells-kitchen-best-biryani/,"366 W 52nd St, New York, NY 10019",40.7643836,-73.9876243,Manhattan,Hell's Kitchen,Indian,Biryani
Sonbul,https://maps.app.goo.gl/N1S5XHMcwQ2MgNWz8,https://hellgatenyc.com/sonbul-korean-food-burly-bed-stuy/,"356 Throop Ave, Brooklyn, NY 11221",40.6920119,-73.9429046,Brooklyn,Bedford-Stuyvesant,Korean,
Spicy Nepal,https://maps.app.goo.gl/rQos95Ah4ErEN4cs8,https://hellgatenyc.com/spicy-nepal-sunnyside-review/,"39-35 47th Ave, Sunnyside, NY 11104",40.7420136,-73.9252478,Queens,Sunnyside,Nepali,
El Rinconcito,https://maps.app.goo.gl/83GPf2quDnKtndZcA,https://hellgatenyc.com/el-rinconcito-alphabet-city-review/,"75 Loisaida Ave, New York, NY 10009",40.7231487,-73.979778,Manhattan,Alphabet City,Latin American,
Fer,https://maps.app.goo.gl/7Ah7Xx9pMsVXDxFUA,https://hellgatenyc.com/dutch-kills-fer-sichuan-restaurant-review/,"41-10 29th St, Long Island City, NY 11101",40.75090948,-73.93707545,Queens,Long Island City,Chinese,Noodles
Cauldron Chicken,https://maps.app.goo.gl/yZpd3Mq2utzFihMbA,https://hellgatenyc.com/cauldron-chicken-dao-kou-shou-ji-bleecker-street-nyc/,"190 Bleecker St, New York, NY 10012",40.72920846,-74.00145934,Manhattan,Greenwich Village,Chinese,Chicken
